,Title,Published_date,Views,Likes,Comments,Video_length,Month
149,Galaxy Tab S8 Ultra: A Monster Tablet!,2022-02-25,6116126,169198,7228,694.0,Feb
150,Galaxy S22 Ultra Review: Separating from the Pack!,2022-02-22,5634419,155809,6935,790.0,Feb
151,Galaxy S22 Review: The iPhone of Android!,2022-02-18,7297951,215243,13643,814.0,Feb
152,On New Cybertruck Updates from Drone Footage...,2022-02-17,2195229,93862,2862,597.0,Feb
153,Galaxy S22 Ultra Impressions: It's a Note!,2022-02-09,3388557,137664,6619,457.0,Feb
154,Galaxy S22 Impressions: 1 Real Downgrade!,2022-02-09,2634352,99224,4677,377.0,Feb
155,An Announcement!,2022-02-01,2732499,134682,4317,460.0,Feb
156,OnePlus 10 Pro Impressions: What Happened?,2022-01-28,4148323,118173,8995,812.0,Jan
157,Blue Bubbles vs Green Bubbles: Explained!,2022-01-24,5380112,228132,23159,1246.0,Jan
158,When Tech Companies Lie to Us...,2022-01-13,4232675,182066,8729,863.0,Jan
159,My Everyday Tech: 2022!,2022-01-07,5031860,147384,4983,860.0,Jan
160,2022 Tech I'm Ready For!,2022-01-05,2952152,112413,4967,890.0,Jan
161,"Galaxy S21 FE Impressions: Great Phone, Odd Price!",2022-01-04,3427351,116586,6158,520.0,Jan
162,Rewind: Best Gadgets of 2021!,2021-12-29,2953064,93306,3392,727.0,Dec
163,Tech Rewind 2021!,2021-12-26,1907395,87539,2871,793.0,Dec
164,Smartphone Awards 2021!,2021-12-22,5393263,213242,13889,1538.0,Dec
165,20 Questions with MrBeast!,2021-12-20,4237480,240590,6275,1052.0,Dec
166,The Blind Smartphone Camera Test 2021!,2021-12-17,2250307,114158,5310,691.0,Dec
167,Oppo Find N Impressions: The Best Folding Phone?!,2021-12-15,3338648,100530,5251,536.0,Dec
168,Smartphone Cameras vs Reality!,2021-12-09,2707613,131868,5660,575.0,Dec
169,This Smartphone is Built Different...,2021-12-06,3007130,145418,7883,676.0,Dec
170,"Why Does This $10,000 Gucci Xbox Exist?",2021-12-02,2160846,107129,5302,689.0,Dec
171,What is a Google Phone?! Reviewing Every Pixel/Nexus Ever!,2021-11-24,3778876,114765,7742,1915.0,Nov
172,Apple vs Right to Repair: Part 2!,2021-11-17,1765789,89634,3800,411.0,Nov
173,Dear YouTube!,2021-11-11,3731309,511546,36953,593.0,Nov
174,The Best Camera in Any Phone... With a Catch!,2021-11-10,2908285,109014,6844,685.0,Nov
175,M1 Max MacBook Pro Review: Truly Next Level!,2021-11-05,7755619,222258,11835,1358.0,Nov
